round_id,match_id,team_initials,coach_name,line_up,shirt_number,player_name,position,event
201,1090,USA,MILLAR Bob (USA),S,0,Tom FLORIE,C,G45'
201,1093,BRA,DE CARVALHO Pindaro (BRA),S,0,PREGUINHO,C,G62'
201,1098,PER,BRU Francisco (ESP),S,0,Placido GALINDO,C,R70'
201,1091,BRA,DE CARVALHO Pindaro (BRA),S,0,PREGUINHO,C,G67' G83'
201,1089,PAR,DURAND LAGUNA Jose (ARG),S,0,Luis VARGAS PENA,C,G40'
201,1084,CHI,ORTH Gyorgy (HUN),S,0,Guillermo SUBIABRE,C,G15'
418,1106,AUT,MEISL Hugo (AUT),S,0,Johann HORVATH,C,G8'
3491,1105,AUT,MEISL Hugo (AUT),S,0,Johann HORVATH,C,G28'
206,1173,HUN,DIETZ Karoly (HUN),S,0,Gyorgy SAROSI,C,G28' G89'
206,1157,ROU,BRAUN Coloman (ROU),S,0,Stefan DOBAY,C,G35'
206,1157,CUB,TAPIA Jose (CUB),S,0,Tomas FERNANDEZ,C,G57'
429,1175,HUN,DIETZ Karoly (HUN),S,0,Gyorgy SAROSI,C,G40'
429,1158,SWE,NAGY Joszef (HUN),S,0,Tore KELLER,C,G80'
429,1153,BRA,PIMENTA Ademar (BRA),S,0,LEONIDAS,C,G57'
3489,1176,HUN,DIETZ Karoly (HUN),S,0,Gyorgy SAROSI,C,G65'
3489,1149,ITA,POZZO Vittorio (ITA),S,0,Giuseppe MEAZZA,C,P60'
3488,1151,BRA,PIMENTA Ademar (BRA),S,0,LEONIDAS,C,G63' G74'
3487,1174,HUN,DIETZ Karoly (HUN),S,0,Gyorgy SAROSI,C,G70'
208,1219,ITA,NOVO Ferruccio (ITA),S,0,Riccardo CARAPELLESE,C,G7'
208,1230,YUG,ARSENIJEVIC Milorad (YUG),S,0,Rajko MITIC,C,G59'
208,1228,PAR,FLEITAS SOLICH Manuel (PAR),S,0,Cesar LOPEZ FRETES,C,G35'
208,1218,ITA,NOVO Ferruccio (ITA),S,0,Riccardo CARAPELLESE,C,G12'
208,1222,MEX,VIAL Octavio (MEX),S,0,Horacio CASARIN,C,G89'
209,1207,URU,LOPEZ Juan (URU),S,0,Obdulio VARELA,C,G73'
209,1206,ESP,EIZAGUIRRE Guillermo (ESP),S,0,ZARRA,C,G82'
211,1294,HUN,SEBES Gusztav (HUN),S,10,Ferenc PUSKAS,C,G12' G89'
211,1300,ITA,CZEIZLER Lajos (HUN),S,19,Giampiero BONIPERTI,C,G44'
211,1277,HUN,SEBES Gusztav (HUN),S,10,Ferenc PUSKAS,C,G17'
211,1243,ITA,CZEIZLER Lajos (HUN),S,8,Egisto PANDOLFINI,C,P41'
211,1284,TUR,PUPPO Sandro (ITA),S,11,Lefter KUCUKANDONYADIS,C,G82'
211,1284,FRG,HERBERGER Sepp (FRG),S,16,Fritz WALTER,C,G62'
212,1264,URU,LOPEZ Juan (URU),S,5,Obdulio VARELA,C,G39'
212,1237,AUT,NAUSCH Walter (AUT),S,5,Ernst OCWIRK,C,G32'
212,1248,HUN,SEBES Gusztav (HUN),S,5,Jozsef BOZSIK,C,R71'
462,1233,FRG,HERBERGER Sepp (FRG),S,16,Fritz WALTER,C,P54' P64'
3485,1239,AUT,NAUSCH Walter (AUT),S,5,Ernst OCWIRK,C,G79'
3484,1278,HUN,SEBES Gusztav (HUN),S,10,Ferenc PUSKAS,C,G6'
220,1415,SWE,RAYNOR George (ENG),S,4,Nils LIEDHOLM,C,P57'
220,1372,URS,KACHALIN Gavril (URS),S,9,Nikita SIMONYAN,C,G13'
220,1423,PAR,GONZALEZ Aurelio (PAR),S,7,Juan AGUERO,C,G4'
220,1391,FRG,HERBERGER Sepp (FRG),S,11,Hans SCHAEFER,C,G59'
220,1426,PAR,GONZALEZ Aurelio (PAR),S,7,Juan AGUERO,C,G49'
488,1390,FRG,HERBERGER Sepp (FRG),S,11,Hans SCHAEFER,C,G24'
3483,1382,FRG,HERBERGER Sepp (FRG),S,11,Hans SCHAEFER,C,G84'
3482,1343,SWE,RAYNOR George (ENG),S,4,Nils LIEDHOLM,C,G4'
231,1479,COL,PEDERNERA Adolfo (ARG),S,3,Francisco ZULUAGA,C,P19'
231,1447,ARG,LORENZO Juan Carlos (ARG),S,15,Ruben NAVARRO,C,Y1'
231,1564,YUG,LOVRIC Ljubomir (YUG),S,10,Milan GALIC,C,G29'
231,1480,YUG,LOVRIC Ljubomir (YUG),S,10,Milan GALIC,C,G20' G61'
514,1458,CHI,RIERA Fernando (CHI),S,8,Jorge TORO,C,G42'
238,1609,PRK,MYUNG Rye Hyun (PRK),S,8,PAK Seung Zin,C,G88'
238,1637,FRG,SCHOEN Helmut (FRG),S,9,Uwe SEELER,C,G84'
239,1577,ARG,LORENZO Juan Carlos (ARG),S,10,Antonio RATTIN,C,Y1' R35'
239,1660,URU,VIERA Ondino (URU),S,2,Horacio TROCHE,C,R49'
239,1660,FRG,SCHOEN Helmut (FRG),S,9,Uwe SEELER,C,G75'
239,1702,POR,GLORIA Otto (BRA),S,10,MARIO COLUNA,C,Y1'
239,1702,PRK,MYUNG Rye Hyun (PRK),S,8,PAK Seung Zin,C,G1'
250,1902,MEX,CARDENAS Raul (MEX),S,3,Gustavo PENA,C,Y1'
250,1881,URU,HOHBERG Juan (URU),S,8,Pedro ROCHA,C,O12'
250,1780,PER,DIDI (BRA),S,4,Hector CHUMPITAZ,C,G55'
250,1839,FRG,SCHOEN Helmut (FRG),S,9,Uwe SEELER,C,G56'
250,1839,MAR,VIDINIC Blagoje (YUG),S,8,Driss BAMOUS,C,O72'
250,1770,TCH,MARKO Jozef (TCH),S,5,Alexander HORVATH,C,Y1'
250,1919,ROU,NICULESCU Angelo (ROU),S,11,Mircea LUCESCU,C,O69'
250,1880,ISR,SHEFFER Emmanuel (ISR),S,10,Mordechai SPIEGLER,C,G56'
250,1774,FRG,SCHOEN Helmut (FRG),S,9,Uwe SEELER,C,G70'
250,1774,BUL,BOZHKOV Stefan (BUL),S,15,Boris GAGANELOV,C,O58'
250,1820,SLV,CARRASCO Hernan (CHI),S,1,Raul MAGANA,GK,Y1'
250,1820,SLV,CARRASCO Hernan (CHI),S,3,Salvador MARIONA,C,Y1'
250,1769,ROU,NICULESCU Angelo (ROU),S,21,Stere ADAMACHE,GK,O27'
250,1779,MAR,VIDINIC Blagoje (YUG),S,8,Driss BAMOUS,C,OH46'
250,1752,MEX,CARDENAS Raul (MEX),S,3,Gustavo PENA,C,Y1' P14'
250,1752,BEL,GOETHALS Raymond (BEL),S,10,Paul VAN HIMST,C,Y1'
251,1811,FRG,SCHOEN Helmut (FRG),S,9,Uwe SEELER,C,G82'
569,1771,BRA,ZAGALLO Mario (BRA),S,4,CARLOS ALBERTO,C,Y1'
3477,1843,URU,HOHBERG Juan (URU),S,4,Luis UBINA,C,Y1'
