year,country,first,second,third,fourth,goals,nb_teams,nb_matches,attendance
1930,uruguay,uruguay,argentina,usa,yugoslavia,70,13,18,590.549
1934,italy,italy,czechoslovakia,germany,austria,70,16,17,363.000
1938,france,italy,hungary,brazil,sweden,84,15,18,375.700
1950,brazil,uruguay,brazil,sweden,spain,88,13,22,1.045.246
1954,switzerland,germany fr,hungary,austria,uruguay,140,16,26,768.607
1958,sweden,brazil,sweden,france,germany fr,126,16,35,819.810
1962,chile,brazil,czechoslovakia,chile,yugoslavia,89,16,32,893.172
1966,england,england,germany fr,portugal,soviet union,89,16,32,1.563.135
1970,mexico,brazil,italy,germany fr,uruguay,95,16,32,1.603.975
1974,germany,germany fr,netherlands,poland,brazil,97,16,38,1.865.753
1978,argentina,argentina,netherlands,brazil,italy,102,16,38,1.545.791
1982,spain,italy,germany fr,poland,france,146,24,52,2.109.723
1986,mexico,argentina,germany fr,france,belgium,132,24,52,2.394.031
1990,italy,germany fr,argentina,italy,england,115,24,52,2.516.215
1994,usa,brazil,italy,sweden,bulgaria,141,24,52,3.587.538
1998,france,france,brazil,croatia,netherlands,171,32,64,2.785.100
2002,korea/japan,brazil,germany,turkey,korea republic,161,32,64,2.705.197
2006,germany,italy,france,germany,portugal,147,32,64,3.359.439
2010,south africa,spain,netherlands,germany,uruguay,145,32,64,3.178.856
2014,brazil,germany,argentina,netherlands,brazil,171,32,64,3.386.810
