year,round_id,match_id,date_time,stage,home_team_code,home_team_name,away_team_code,away_team_name,stadium,city,attendance,referee,assistant_1,assistant_2,half_time_home_goals,half_time_away_goals,home_team_goals,away_team_goals,penalty_home,penalty_away,when_win_conditions
1930.0,201.0,1096.0,1930-07-13 15:00:00,Group 1,FRA,France,MEX,Mexico,Pocitos,Montevideo ,4444.0,LOMBARDI Domingo (URU),CRISTOPHE Henry (BEL),REGO Gilberto (BRA),3.0,0.0,4.0,1.0,,,fulltime
1930.0,201.0,1090.0,1930-07-13 15:00:00,Group 4,USA,USA,BEL,Belgium,Parque Central,Montevideo ,18346.0,MACIAS Jose (ARG),MATEUCCI Francisco (URU),WARNKEN Alberto (CHI),2.0,0.0,3.0,0.0,,,fulltime
1930.0,201.0,1093.0,1930-07-14 12:45:00,Group 2,YUG,Yugoslavia,BRA,Brazil,Parque Central,Montevideo ,24059.0,TEJADA Anibal (URU),VALLARINO Ricardo (URU),BALWAY Thomas (FRA),2.0,0.0,2.0,1.0,,,fulltime
1930.0,201.0,1098.0,1930-07-14 14:50:00,Group 3,ROU,Romania,PER,Peru,Pocitos,Montevideo ,2549.0,WARNKEN Alberto (CHI),LANGENUS Jean (BEL),MATEUCCI Francisco (URU),1.0,0.0,3.0,1.0,,,fulltime
1930.0,201.0,1085.0,1930-07-15 16:00:00,Group 1,ARG,Argentina,FRA,France,Parque Central,Montevideo ,23409.0,REGO Gilberto (BRA),SAUCEDO Ulises (BOL),RADULESCU Constantin (ROU),0.0,0.0,1.0,0.0,,,fulltime
1930.0,201.0,1095.0,1930-07-16 14:45:00,Group 1,CHI,Chile,MEX,Mexico,Parque Central,Montevideo ,9249.0,CRISTOPHE Henry (BEL),APHESTEGUY Martin (URU),LANGENUS Jean (BEL),1.0,0.0,3.0,0.0,,,fulltime
1930.0,201.0,1092.0,1930-07-17 12:45:00,Group 2,YUG,Yugoslavia,BOL,Bolivia,Parque Central,Montevideo ,18306.0,MATEUCCI Francisco (URU),LOMBARDI Domingo (URU),WARNKEN Alberto (CHI),0.0,0.0,4.0,0.0,,,fulltime
1930.0,201.0,1097.0,1930-07-17 14:45:00,Group 4,USA,USA,PAR,Paraguay,Parque Central,Montevideo ,18306.0,MACIAS Jose (ARG),APHESTEGUY Martin (URU),TEJADA Anibal (URU),2.0,0.0,3.0,0.0,,,fulltime
1930.0,201.0,1099.0,1930-07-18 14:30:00,Group 3,URU,Uruguay,PER,Peru,Estadio Centenario,Montevideo ,57735.0,LANGENUS Jean (BEL),BALWAY Thomas (FRA),CRISTOPHE Henry (BEL),0.0,0.0,1.0,0.0,,,fulltime
1930.0,201.0,1094.0,1930-07-19 12:50:00,Group 1,CHI,Chile,FRA,France,Estadio Centenario,Montevideo ,2000.0,TEJADA Anibal (URU),LOMBARDI Domingo (URU),REGO Gilberto (BRA),0.0,0.0,1.0,0.0,,,fulltime
1930.0,201.0,1086.0,1930-07-19 15:00:00,Group 1,ARG,Argentina,MEX,Mexico,Estadio Centenario,Montevideo ,42100.0,SAUCEDO Ulises (BOL),ALONSO Gualberto (URU),RADULESCU Constantin (ROU),3.0,1.0,6.0,3.0,,,fulltime
1930.0,201.0,1091.0,1930-07-20 13:00:00,Group 2,BRA,Brazil,BOL,Bolivia,Estadio Centenario,Montevideo ,25466.0,BALWAY Thomas (FRA),MATEUCCI Francisco (URU),VALLEJO Gaspar (MEX),1.0,0.0,4.0,0.0,,,fulltime
1930.0,201.0,1089.0,1930-07-20 15:00:00,Group 4,PAR,Paraguay,BEL,Belgium,Estadio Centenario,Montevideo ,12000.0,VALLARINO Ricardo (URU),MACIAS Jose (ARG),LOMBARDI Domingo (URU),1.0,0.0,1.0,0.0,,,fulltime
1930.0,201.0,1100.0,1930-07-21 14:50:00,Group 3,URU,Uruguay,ROU,Romania,Estadio Centenario,Montevideo ,70022.0,REGO Gilberto (BRA),WARNKEN Alberto (CHI),SAUCEDO Ulises (BOL),4.0,0.0,4.0,0.0,,,fulltime
1930.0,201.0,1084.0,1930-07-22 14:45:00,Group 1,ARG,Argentina,CHI,Chile,Estadio Centenario,Montevideo ,41459.0,LANGENUS Jean (BEL),CRISTOPHE Henry (BEL),SAUCEDO Ulises (BOL),2.0,1.0,3.0,1.0,,,fulltime
1930.0,202.0,1088.0,1930-07-26 14:45:00,Semi-finals,ARG,Argentina,USA,USA,Estadio Centenario,Montevideo ,72886.0,LANGENUS Jean (BEL),VALLEJO Gaspar (MEX),WARNKEN Alberto (CHI),1.0,0.0,6.0,1.0,,,fulltime
1930.0,202.0,1101.0,1930-07-27 14:45:00,Semi-finals,URU,Uruguay,YUG,Yugoslavia,Estadio Centenario,Montevideo ,79867.0,REGO Gilberto (BRA),SAUCEDO Ulises (BOL),BALWAY Thomas (FRA),3.0,1.0,6.0,1.0,,,fulltime
1930.0,405.0,1087.0,1930-07-30 14:15:00,Final,URU,Uruguay,ARG,Argentina,Estadio Centenario,Montevideo ,68346.0,LANGENUS Jean (BEL),SAUCEDO Ulises (BOL),CRISTOPHE Henry (BEL),1.0,2.0,4.0,2.0,,,fulltime
1934.0,204.0,1104.0,1934-05-27 16:30:00,Preliminary round,AUT,Austria,FRA,France,Stadio Benito Mussolini,Turin ,16000.0,VAN MOORSEL Johannes (NED),CAIRONI Camillo (ITA),BAERT Louis (BEL),0.0,0.0,3.0,2.0,,,extratime
1934.0,204.0,1119.0,1934-05-27 16:30:00,Preliminary round,HUN,Hungary,EGY,Egypt,Giorgio Ascarelli,Naples ,9000.0,BARLASSINA Rinaldo (ITA),DATTILO Generoso (ITA),SASSI Otello (ITA),2.0,2.0,4.0,2.0,,,fulltime
1934.0,204.0,1133.0,1934-05-27 16:30:00,Preliminary round,SUI,Switzerland,NED,Netherlands,San Siro,Milan ,33000.0,EKLIND Ivan (SWE),BERANEK Alois (AUT),BONIVENTO Ferruccio (ITA),2.0,1.0,3.0,2.0,,,fulltime
1934.0,204.0,1102.0,1934-05-27 16:30:00,Preliminary round,SWE,Sweden,ARG,Argentina,Littorale,Bologna ,14000.0,BRAUN Eugen (AUT),CARRARO Albino (ITA),TURBIANI Giuseppe (ITA),1.0,1.0,3.0,2.0,,,fulltime
